State,Parliament Constituency,Winning Candidate,Total Votes,Margin
Meghalaya,Shillong(1),DR. RICKY ANDREW J. SYNGKON,571078,371910
Meghalaya,Tura(2),SALENG A SANGMA,383919,155241
Mizoram,MIZORAM(1),RICHARD VANLALHMANGAIHA,208552,68288
Nagaland,Nagaland(1),S SUPONGMEREN JAMIR,401951,50984
NCT OF Delhi,Chandni Chowk(1),PRAVEEN KHANDELWAL,516496,89325
NCT OF Delhi,North-East Delhi(2),MANOJ TIWARI,824451,138778
NCT OF Delhi,East Delhi(3),HARSH MALHOTRA,664819,93663
NCT OF Delhi,New Delhi(4),BANSURI SWARAJ,453185,78370
NCT OF Delhi,North-West Delhi(5),YOGENDER CHANDOLIYA,866483,290849
NCT OF Delhi,West Delhi(6),KAMALJEET SEHRAWAT,842658,199013
NCT OF Delhi,South Delhi(7),RAMVIR SINGH BIDHURI,692832,124333
Odisha,Bargarh(1),PRADEEP PUROHIT,716359,251667
Odisha,Sundargarh(2),JUAL ORAM,494282,138808
Odisha,Sambalpur(3),DHARMENDRA PRADHAN,592162,119836
Odisha,Keonjhar(4),ANANTA NAYAK,573923,97042
Odisha,Mayurbhanj(5),NABA CHARAN MAJHI,585971,219334
Odisha,Balasore(6),PRATAP CHANDRA SARANGI,563865,147156
Odisha,Bhadrak(7),AVIMANYU SETHI,573319,91544
Odisha,Jajpur(8),RABINDRA NARAYAN BEHERA,534239,1587
Odisha,Dhenkanal(9),RUDRA NARAYAN PANY,598721,76567
Odisha,Bolangir(10),SANGEETA KUMARI SINGH DEO,617744,132664
Odisha,Kalahandi(11),MALVIKA DEVI,544303,133813
Odisha,Nabarangpur(12),BALABHADRA MAJHI,481396,87536
Odisha,Kandhamal(13),SUKANTA KUMAR PANIGRAHI,416415,21371
Odisha,Cuttack(14),BHARTRUHARI MAHTAB,531601,57077
Odisha,Kendrapara(15),BAIJAYANT PANDA,615705,66536
Odisha,Jagatsinghpur(16),BIBHU PRASAD TARAI,589093,40696
Odisha,Puri(17),SAMBIT PATRA,629330,104709
Odisha,Bhubaneswar(18),APARAJITA SARANGI,512519,35152
Odisha,Aska(19),ANITA SUBHADARSHINI,494226,99974
Odisha,Berhampur(20),DR. PRADEEP KUMAR PANIGRAHY,513102,165476
Odisha,Koraput(21),SAPTAGIRI SANKAR ULAKA,471393,147744
Puducherry,PUDUCHERRY(1),VE VAITHILINGAM,426005,136516
Punjab,Gurdaspur(1),SUKHJINDER SINGH RANDHAWA,364043,82861
Punjab,Amritsar(2),GURJEET SINGH AUJLA,255181,40301
Punjab,Jalandhar(4),CHARANJIT SINGH CHANNI,390053,175993
Punjab,Ludhiana(7),AMRINDER SINGH RAJA WARRING,322224,20942
Punjab,Fatehgarh Sahib(8),AMAR SINGH,332591,34202
Punjab,Firozpur(10),SHER SINGH GHUBAYA,266626,3242
Punjab,Patiala(13),DR DHARAMVIRA GANDHI,305616,14831
Punjab,Hoshiarpur(5),DR. RAJ KUMAR CHABBEWAL,303859,44111
Punjab,Anandpur Sahib(6),MALVINDER SINGH KANG,313217,10846
Punjab,Sangrur(12),GURMEET SINGH MEET HAYER,364085,172560
Punjab,Bathinda(11),HARSIMRAT KAUR BADAL,376558,49656
Punjab,Khadoor Sahib(3),AMRITPAL SINGH,404430,197120
Punjab,Faridkot(9),SARABJEET SINGH KHALSA,298062,70053
Rajasthan,BIKANER (2),ARJUN RAM MEGHWAL,566737,55711
Rajasthan,JAIPUR RURAL(6),RAO RAJENDRA SINGH,617877,1615
Rajasthan,JAIPUR(7),MANJU SHARMA,886850,331767
Rajasthan,ALWAR(8),BHUPENDER YADAV,631992,48282
Rajasthan,AJMER (13),BHAGIRATH CHOUDHARY,747462,329991
Rajasthan,PALI(15),P. P. CHAUDHARY,757389,245351
Rajasthan,JODHPUR(16),GAJENDRA SINGH SHEKHAWAT,730056,115677
Rajasthan,JALORE (18),LUMBARAM,796783,201543
Rajasthan,UDAIPUR (19),MANNA LAL RAWAT,738286,261608
Rajasthan,CHITTORGARH(21),CHANDRA PRAKASH JOSHI,888202,389877
Rajasthan,RAJSAMAND(22),MAHIMA KUMARI MEWAR,781203,392223
Rajasthan,BHILWARA(23),DAMODAR AGARWAL,807640,354606
