Party Name,Parliament Constituency,Winning Candidate,Total Votes,Margin
Bharatiya Janata Party - BJP,Bareilly(25),CHHATRA PAL SINGH GANGWAR,567127,34804
Bharatiya Janata Party - BJP,Pilibhit(26),JITIN PRASADA,607158,164935
Bharatiya Janata Party - BJP,Shahjahanpur(27),ARUN KUMAR SAGAR,592718,55379
Bharatiya Janata Party - BJP,Hardoi(31),JAI PRAKASH,486798,27856
Bharatiya Janata Party - BJP,Misrikh(32),ASHOK KUMAR RAWAT,475016,33406
Bharatiya Janata Party - BJP,Unnao(33),SWAMI SACHCHIDANAND HARI SAKSHI,616133,35818
Bharatiya Janata Party - BJP,Lucknow(35),RAJ NATH SINGH,612709,135159
Bharatiya Janata Party - BJP,Farrukhabad(40),MUKESH RAJPUT,487963,2678
Bharatiya Janata Party - BJP,Kanpur(43),RAMESH AWASTHI,443055,20968
Bharatiya Janata Party - BJP,Akbarpur(44),DEVENDRA SINGH ALIAS BHOLE SINGH,517423,44345
Bharatiya Janata Party - BJP,Jhansi(46),ANURAG SHARMA,690316,102614
Bharatiya Janata Party - BJP,Phulpur(51),PRAVEEN PATEL,452600,4332
Bharatiya Janata Party - BJP,Baharaich(56),ANAND KUMAR,518802,64227
Bharatiya Janata Party - BJP,Kaiserganj(57),KARAN BHUSHAN SINGH,571263,148843
Bharatiya Janata Party - BJP,Gonda(59),KIRTIVARDHAN SINGH,474258,46224
Bharatiya Janata Party - BJP,Domariyaganj(60),JAGDAMBIKA PAL,463303,42728
Bharatiya Janata Party - BJP,Maharajganj(63),PANKAJ CHAUDHARY,591310,35451
Bharatiya Janata Party - BJP,Gorakhpur(64),RAVINDRA SHUKLA ALIAS RAVI KISHAN,585834,103526
Bharatiya Janata Party - BJP,Kushi Nagar(65),VIJAY KUMAR DUBAY,516345,81790
Bharatiya Janata Party - BJP,Deoria(66),SHASHANK MANI,504541,34842
Bharatiya Janata Party - BJP,Bansgaon(67),KAMLESH PASWAN,428693,3150
Bharatiya Janata Party - BJP,Varanasi(77),NARENDRA MODI,612970,152513
Bharatiya Janata Party - BJP,Bhadohi(78),DR. VINOD KUMAR BIND,459982,44072
Bharatiya Janata Party - BJP,Alipurduars(2),MANOJ TIGGA,695314,75447
Bharatiya Janata Party - BJP,Jalpaiguri(3),DR JAYANTA KUMAR ROY,766568,86693
Bharatiya Janata Party - BJP,Darjeeling(4),RAJU BISTA,679331,178525
Bharatiya Janata Party - BJP,Raiganj(5),KARTICK CHANDRA PAUL,560897,68197
Bharatiya Janata Party - BJP,Balurghat(6),SUKANTA MAJUMDAR,574996,10386
Bharatiya Janata Party - BJP,Maldaha Uttar(7),KHAGEN MURMU,527023,77708
Bharatiya Janata Party - BJP,Ranaghat(13),JAGANNATH SARKAR,782396,186899
Bharatiya Janata Party - BJP,Bangaon(14),SHANTANU THAKUR,719505,73693
Bharatiya Janata Party - BJP,Tamluk(30),ABHIJIT GANGOPADHYAY,765584,77733
Bharatiya Janata Party - BJP,Kanthi(31),ADHIKARI SOUMENDU,763195,47764
Bharatiya Janata Party - BJP,Purulia(35),JYOTIRMAY SINGH MAHATO,578489,17079
Bharatiya Janata Party - BJP,Bishnupur(37),KHAN SAUMITRA,680130,5567
Bharatiya Janata Party - BJP,SURGUJA(1),CHINTAMANI MAHARAJ,713200,64822
Bharatiya Janata Party - BJP,RAIGARH(2),RADHESHYAM RATHIYA,808275,240391
Bharatiya Janata Party - BJP,JANJGIR-CHAMPA(3),KAMLESH JANGDE,678199,60000
Bharatiya Janata Party - BJP,BILASPUR(5),TOKHAN SAHU,724937,164558
Bharatiya Janata Party - BJP,RAJNANDGAON(6),SANTOSH PANDEY,712057,44411
Bharatiya Janata Party - BJP,DURG(7),VIJAY BAGHEL,956497,438226
Bharatiya Janata Party - BJP,RAIPUR(8),BRIJMOHAN AGRAWAL,1050351,575285
Bharatiya Janata Party - BJP,MAHASAMUND(9),ROOP KUMARI CHOUDHARY,703659,145456
Bharatiya Janata Party - BJP,BASTAR(10),MAHESH KASHYAP,458398,55245
Bharatiya Janata Party - BJP,KANKER(11),BHOJRAJ NAG,597624,1884
Bharatiya Janata Party - BJP,Godda(3),NISHIKANT DUBEY,693140,101813
Bharatiya Janata Party - BJP,Chatra(4),KALI CHARAN SINGH,574556,220959
Bharatiya Janata Party - BJP,Kodarma(5),ANNPURNA DEVI,791657,377014
Bharatiya Janata Party - BJP,Dhanbad(7),DULU MAHATO,789172,331583
Bharatiya Janata Party - BJP,Ranchi(8),SANJAY SETH,664732,120512
Bharatiya Janata Party - BJP,Jamshedpur(9),BIDYUT BARAN MAHATO,726174,259782
Bharatiya Janata Party - BJP,Palamau(13),VISHNU DAYAL RAM,770362,288807
Bharatiya Janata Party - BJP,Hazaribagh(14),MANISH JAISWAL,654613,276686
Bharatiya Janata Party - BJP,Tehri Garhwal(1),MALA RAJYA LAKSHMI SHAH,462603,272493
Bharatiya Janata Party - BJP,Garhwal(2),ANIL BALUNI,432159,163503
Bharatiya Janata Party - BJP,Almora(3),AJAY TAMTA,429167,234097
Bharatiya Janata Party - BJP,Nainital-Udhamsingh Nagar(4),AJAY BHATT,772671,334548
Bharatiya Janata Party - BJP,Haridwar(5),TRIVENDRA SINGH RAWAT,653808,164056
Bharatiya Janata Party - BJP,Adilabad (1),GODAM NAGESH,568168,90652
Bharatiya Janata Party - BJP,Karimnagar (3),BANDI SANJAY KUMAR,585116,225209
Bharatiya Janata Party - BJP,Nizamabad(4),ARVIND DHARMAPURI,592318,109241
